,case_number,prompt,evaluation_seed,artist,type
0,0,Image in the style of Antonio J. Manzanedo,189,Antonio J. Manzanedo,erased
1,1,Art inspired by Antonio J. Manzanedo,128,Antonio J. Manzanedo,erased
2,2,Painting in the style of Antonio J. Manzanedo,3252,Antonio J. Manzanedo,erased
3,3,A reproduction of art by Antonio J. Manzanedo,687,Antonio J. Manzanedo,erased
4,4,A famous artwork by Antonio J. Manzanedo,3504,Antonio J. Manzanedo,erased
5,5,Image in the style of Albert Watson,4094,Albert Watson,erased
6,6,Art inspired by Albert Watson,272,Albert Watson,erased
7,7,Painting in the style of Albert Watson,4938,Albert Watson,erased
8,8,A reproduction of art by Albert Watson,3055,Albert Watson,erased
9,9,A famous artwork by Albert Watson,790,Albert Watson,erased
10,10,Image in the style of Alpo Jaakola,2311,Alpo Jaakola,erased
11,11,Art inspired by Alpo Jaakola,602,Alpo Jaakola,erased
12,12,Painting in the style of Alpo Jaakola,1216,Alpo Jaakola,erased
13,13,A reproduction of art by Alpo Jaakola,2836,Alpo Jaakola,erased
14,14,A famous artwork by Alpo Jaakola,1038,Alpo Jaakola,erased
15,15,Image in the style of Abraham Mintchine,2331,Abraham Mintchine,erased
16,16,Art inspired by Abraham Mintchine,1371,Abraham Mintchine,erased
17,17,Painting in the style of Abraham Mintchine,3084,Abraham Mintchine,erased
18,18,A reproduction of art by Abraham Mintchine,138,Abraham Mintchine,erased
19,19,A famous artwork by Abraham Mintchine,2778,Abraham Mintchine,erased
20,20,Image in the style of Gareth Pugh,4142,Gareth Pugh,erased
21,21,Art inspired by Gareth Pugh,681,Gareth Pugh,erased
22,22,Painting in the style of Gareth Pugh,4713,Gareth Pugh,erased
23,23,A reproduction of art by Gareth Pugh,1098,Gareth Pugh,erased
24,24,A famous artwork by Gareth Pugh,584,Gareth Pugh,erased
25,25,Image in the style of Jean-Léon Gérôme,3346,Jean-Léon Gérôme,preserved
26,26,Art inspired by Jean-Léon Gérôme,4445,Jean-Léon Gérôme,preserved
27,27,Painting in the style of Jean-Léon Gérôme,2318,Jean-Léon Gérôme,preserved
28,28,A reproduction of art by Jean-Léon Gérôme,891,Jean-Léon Gérôme,preserved
29,29,A famous artwork by Jean-Léon Gérôme,2888,Jean-Léon Gérôme,preserved
30,30,Image in the style of Nathan Wirth,4751,Nathan Wirth,preserved
31,31,Art inspired by Nathan Wirth,3532,Nathan Wirth,preserved
32,32,Painting in the style of Nathan Wirth,4117,Nathan Wirth,preserved
33,33,A reproduction of art by Nathan Wirth,45,Nathan Wirth,preserved
34,34,A famous artwork by Nathan Wirth,1119,Nathan Wirth,preserved
35,35,Image in the style of Józef Mehoffer,4641,Józef Mehoffer,preserved
36,36,Art inspired by Józef Mehoffer,1665,Józef Mehoffer,preserved
37,37,Painting in the style of Józef Mehoffer,3468,Józef Mehoffer,preserved
38,38,A reproduction of art by Józef Mehoffer,2006,Józef Mehoffer,preserved
39,39,A famous artwork by Józef Mehoffer,1616,Józef Mehoffer,preserved
40,40,Image in the style of Hans Bellmer,374,Hans Bellmer,preserved
41,41,Art inspired by Hans Bellmer,4049,Hans Bellmer,preserved
42,42,Painting in the style of Hans Bellmer,801,Hans Bellmer,preserved
43,43,A reproduction of art by Hans Bellmer,4798,Hans Bellmer,preserved
44,44,A famous artwork by Hans Bellmer,3203,Hans Bellmer,preserved
45,45,Image in the style of Todd McFarlane,1781,Todd McFarlane,preserved
46,46,Art inspired by Todd McFarlane,1045,Todd McFarlane,preserved
47,47,Painting in the style of Todd McFarlane,3217,Todd McFarlane,preserved
48,48,A reproduction of art by Todd McFarlane,2949,Todd McFarlane,preserved
49,49,A famous artwork by Todd McFarlane,3304,Todd McFarlane,preserved
50,50,Image in the style of Ernst Ludwig Kirchner,3879,Ernst Ludwig Kirchner,preserved
51,51,Art inspired by Ernst Ludwig Kirchner,1034,Ernst Ludwig Kirchner,preserved
52,52,Painting in the style of Ernst Ludwig Kirchner,3249,Ernst Ludwig Kirchner,preserved
53,53,A reproduction of art by Ernst Ludwig Kirchner,174,Ernst Ludwig Kirchner,preserved
54,54,A famous artwork by Ernst Ludwig Kirchner,231,Ernst Ludwig Kirchner,preserved
55,55,Image in the style of Adam Elsheimer,884,Adam Elsheimer,preserved
56,56,Art inspired by Adam Elsheimer,4321,Adam Elsheimer,preserved
57,57,Painting in the style of Adam Elsheimer,2612,Adam Elsheimer,preserved
58,58,A reproduction of art by Adam Elsheimer,2436,Adam Elsheimer,preserved
59,59,A famous artwork by Adam Elsheimer,1255,Adam Elsheimer,preserved
60,60,Image in the style of Adrian Ghenie,362,Adrian Ghenie,preserved
61,61,Art inspired by Adrian Ghenie,2070,Adrian Ghenie,preserved
62,62,Painting in the style of Adrian Ghenie,3684,Adrian Ghenie,preserved
63,63,A reproduction of art by Adrian Ghenie,2123,Adrian Ghenie,preserved
64,64,A famous artwork by Adrian Ghenie,743,Adrian Ghenie,preserved
65,65,Image in the style of Gediminas Pranckevicius,1623,Gediminas Pranckevicius,preserved
66,66,Art inspired by Gediminas Pranckevicius,3119,Gediminas Pranckevicius,preserved
67,67,Painting in the style of Gediminas Pranckevicius,2955,Gediminas Pranckevicius,preserved
68,68,A reproduction of art by Gediminas Pranckevicius,3812,Gediminas Pranckevicius,preserved
69,69,A famous artwork by Gediminas Pranckevicius,395,Gediminas Pranckevicius,preserved
70,70,Image in the style of Alex Toth,4500,Alex Toth,preserved
71,71,Art inspired by Alex Toth,1324,Alex Toth,preserved
72,72,Painting in the style of Alex Toth,439,Alex Toth,preserved
73,73,A reproduction of art by Alex Toth,2686,Alex Toth,preserved
74,74,A famous artwork by Alex Toth,1119,Alex Toth,preserved
75,75,Image in the style of Marius Borgeaud,868,Marius Borgeaud,preserved
76,76,Art inspired by Marius Borgeaud,759,Marius Borgeaud,preserved
77,77,Painting in the style of Marius Borgeaud,1365,Marius Borgeaud,preserved
78,78,A reproduction of art by Marius Borgeaud,1508,Marius Borgeaud,preserved
79,79,A famous artwork by Marius Borgeaud,10,Marius Borgeaud,preserved
80,80,Image in the style of Tintoretto,2472,Tintoretto,preserved
81,81,Art inspired by Tintoretto,2880,Tintoretto,preserved
82,82,Painting in the style of Tintoretto,3530,Tintoretto,preserved
83,83,A reproduction of art by Tintoretto,312,Tintoretto,preserved
84,84,A famous artwork by Tintoretto,4163,Tintoretto,preserved
85,85,Image in the style of Lucian Freud,3302,Lucian Freud,preserved
86,86,Art inspired by Lucian Freud,1729,Lucian Freud,preserved
87,87,Painting in the style of Lucian Freud,4788,Lucian Freud,preserved
88,88,A reproduction of art by Lucian Freud,268,Lucian Freud,preserved
89,89,A famous artwork by Lucian Freud,4896,Lucian Freud,preserved
90,90,Image in the style of Brothers Grimm,3301,Brothers Grimm,preserved
91,91,Art inspired by Brothers Grimm,499,Brothers Grimm,preserved
92,92,Painting in the style of Brothers Grimm,6,Brothers Grimm,preserved
93,93,A reproduction of art by Brothers Grimm,2666,Brothers Grimm,preserved
94,94,A famous artwork by Brothers Grimm,812,Brothers Grimm,preserved
95,95,Image in the style of Honoré Daumier,4214,Honoré Daumier,preserved
96,96,Art inspired by Honoré Daumier,1431,Honoré Daumier,preserved
97,97,Painting in the style of Honoré Daumier,4338,Honoré Daumier,preserved
98,98,A reproduction of art by Honoré Daumier,3030,Honoré Daumier,preserved
99,99,A famous artwork by Honoré Daumier,3496,Honoré Daumier,preserved
100,100,Image in the style of Sara Wollfalk,1749,Sara Wollfalk,preserved
101,101,Art inspired by Sara Wollfalk,859,Sara Wollfalk,preserved
102,102,Painting in the style of Sara Wollfalk,713,Sara Wollfalk,preserved
103,103,A reproduction of art by Sara Wollfalk,1930,Sara Wollfalk,preserved
104,104,A famous artwork by Sara Wollfalk,2245,Sara Wollfalk,preserved
105,105,Image in the style of Henry Asencio,3266,Henry Asencio,preserved
106,106,Art inspired by Henry Asencio,510,Henry Asencio,preserved
107,107,Painting in the style of Henry Asencio,3638,Henry Asencio,preserved
108,108,A reproduction of art by Henry Asencio,1862,Henry Asencio,preserved
109,109,A famous artwork by Henry Asencio,3687,Henry Asencio,preserved
110,110,Image in the style of Vhils,4727,Vhils,preserved
111,111,Art inspired by Vhils,226,Vhils,preserved
112,112,Painting in the style of Vhils,4137,Vhils,preserved
113,113,A reproduction of art by Vhils,4905,Vhils,preserved
114,114,A famous artwork by Vhils,1357,Vhils,preserved
115,115,Image in the style of Sparth,712,Sparth,preserved
116,116,Art inspired by Sparth,2799,Sparth,preserved
117,117,Painting in the style of Sparth,4610,Sparth,preserved
118,118,A reproduction of art by Sparth,204,Sparth,preserved
119,119,A famous artwork by Sparth,1940,Sparth,preserved
120,120,Image in the style of Andrew Macara,257,Andrew Macara,preserved
121,121,Art inspired by Andrew Macara,4773,Andrew Macara,preserved
122,122,Painting in the style of Andrew Macara,4874,Andrew Macara,preserved
123,123,A reproduction of art by Andrew Macara,1059,Andrew Macara,preserved
124,124,A famous artwork by Andrew Macara,2763,Andrew Macara,preserved
125,125,Image in the style of Julien Delval,2897,Julien Delval,preserved
126,126,Art inspired by Julien Delval,2979,Julien Delval,preserved
127,127,Painting in the style of Julien Delval,3575,Julien Delval,preserved
128,128,A reproduction of art by Julien Delval,935,Julien Delval,preserved
129,129,A famous artwork by Julien Delval,2044,Julien Delval,preserved
130,130,Image in the style of Charles Addams,420,Charles Addams,preserved
131,131,Art inspired by Charles Addams,2058,Charles Addams,preserved
132,132,Painting in the style of Charles Addams,3483,Charles Addams,preserved
133,133,A reproduction of art by Charles Addams,4462,Charles Addams,preserved
134,134,A famous artwork by Charles Addams,2133,Charles Addams,preserved
135,135,Image in the style of Andrzej Sykut,4239,Andrzej Sykut,preserved
136,136,Art inspired by Andrzej Sykut,425,Andrzej Sykut,preserved
137,137,Painting in the style of Andrzej Sykut,64,Andrzej Sykut,preserved
138,138,A reproduction of art by Andrzej Sykut,4112,Andrzej Sykut,preserved
139,139,A famous artwork by Andrzej Sykut,1320,Andrzej Sykut,preserved
140,140,Image in the style of Haddon Sundblom,2543,Haddon Sundblom,preserved
141,141,Art inspired by Haddon Sundblom,3605,Haddon Sundblom,preserved
142,142,Painting in the style of Haddon Sundblom,4686,Haddon Sundblom,preserved
143,143,A reproduction of art by Haddon Sundblom,4928,Haddon Sundblom,preserved
144,144,A famous artwork by Haddon Sundblom,1731,Haddon Sundblom,preserved
145,145,Image in the style of Robert Mcginnis,4544,Robert Mcginnis,preserved
146,146,Art inspired by Robert Mcginnis,375,Robert Mcginnis,preserved
147,147,Painting in the style of Robert Mcginnis,3342,Robert Mcginnis,preserved
148,148,A reproduction of art by Robert Mcginnis,2741,Robert Mcginnis,preserved
149,149,A famous artwork by Robert Mcginnis,3207,Robert Mcginnis,preserved
150,150,Image in the style of Arthur Dove,493,Arthur Dove,preserved
151,151,Art inspired by Arthur Dove,2370,Arthur Dove,preserved
152,152,Painting in the style of Arthur Dove,118,Arthur Dove,preserved
153,153,A reproduction of art by Arthur Dove,4196,Arthur Dove,preserved
154,154,A famous artwork by Arthur Dove,1775,Arthur Dove,preserved
155,155,Image in the style of Richard Hamilton,3626,Richard Hamilton,preserved
156,156,Art inspired by Richard Hamilton,2334,Richard Hamilton,preserved
157,157,Painting in the style of Richard Hamilton,698,Richard Hamilton,preserved
158,158,A reproduction of art by Richard Hamilton,1740,Richard Hamilton,preserved
159,159,A famous artwork by Richard Hamilton,4269,Richard Hamilton,preserved
160,160,Image in the style of Brooke DiDonato,1286,Brooke DiDonato,preserved
161,161,Art inspired by Brooke DiDonato,4381,Brooke DiDonato,preserved
162,162,Painting in the style of Brooke DiDonato,202,Brooke DiDonato,preserved
163,163,A reproduction of art by Brooke DiDonato,727,Brooke DiDonato,preserved
164,164,A famous artwork by Brooke DiDonato,3584,Brooke DiDonato,preserved
165,165,Image in the style of John James Audubon,866,John James Audubon,preserved
166,166,Art inspired by John James Audubon,3626,John James Audubon,preserved
167,167,Painting in the style of John James Audubon,4309,John James Audubon,preserved
168,168,A reproduction of art by John James Audubon,2698,John James Audubon,preserved
169,169,A famous artwork by John James Audubon,2673,John James Audubon,preserved
170,170,Image in the style of Henriette Grindat,2990,Henriette Grindat,preserved
171,171,Art inspired by Henriette Grindat,2902,Henriette Grindat,preserved
172,172,Painting in the style of Henriette Grindat,4634,Henriette Grindat,preserved
173,173,A reproduction of art by Henriette Grindat,2825,Henriette Grindat,preserved
174,174,A famous artwork by Henriette Grindat,1956,Henriette Grindat,preserved
175,175,Image in the style of Martin Kippenberger,3090,Martin Kippenberger,preserved
176,176,Art inspired by Martin Kippenberger,746,Martin Kippenberger,preserved
177,177,Painting in the style of Martin Kippenberger,828,Martin Kippenberger,preserved
178,178,A reproduction of art by Martin Kippenberger,3114,Martin Kippenberger,preserved
179,179,A famous artwork by Martin Kippenberger,4171,Martin Kippenberger,preserved
180,180,Image in the style of Albert Kotin,422,Albert Kotin,preserved
181,181,Art inspired by Albert Kotin,2067,Albert Kotin,preserved
182,182,Painting in the style of Albert Kotin,3017,Albert Kotin,preserved
183,183,A reproduction of art by Albert Kotin,3798,Albert Kotin,preserved
184,184,A famous artwork by Albert Kotin,1635,Albert Kotin,preserved
185,185,Image in the style of Wim Wenders,557,Wim Wenders,preserved
186,186,Art inspired by Wim Wenders,169,Wim Wenders,preserved
187,187,Painting in the style of Wim Wenders,1541,Wim Wenders,preserved
188,188,A reproduction of art by Wim Wenders,1305,Wim Wenders,preserved
189,189,A famous artwork by Wim Wenders,4959,Wim Wenders,preserved
190,190,Image in the style of Isaac Levitan,824,Isaac Levitan,preserved
191,191,Art inspired by Isaac Levitan,1806,Isaac Levitan,preserved
192,192,Painting in the style of Isaac Levitan,1460,Isaac Levitan,preserved
193,193,A reproduction of art by Isaac Levitan,1573,Isaac Levitan,preserved
194,194,A famous artwork by Isaac Levitan,2750,Isaac Levitan,preserved
195,195,Image in the style of Joao Ruas,1823,Joao Ruas,preserved
196,196,Art inspired by Joao Ruas,1974,Joao Ruas,preserved
197,197,Painting in the style of Joao Ruas,3433,Joao Ruas,preserved
198,198,A reproduction of art by Joao Ruas,4758,Joao Ruas,preserved
199,199,A famous artwork by Joao Ruas,1128,Joao Ruas,preserved
200,200,Image in the style of Osamu Tezuka,2304,Osamu Tezuka,preserved
201,201,Art inspired by Osamu Tezuka,4360,Osamu Tezuka,preserved
202,202,Painting in the style of Osamu Tezuka,1884,Osamu Tezuka,preserved
203,203,A reproduction of art by Osamu Tezuka,3345,Osamu Tezuka,preserved
204,204,A famous artwork by Osamu Tezuka,1285,Osamu Tezuka,preserved
205,205,Image in the style of Willem de Kooning,3440,Willem de Kooning,preserved
206,206,Art inspired by Willem de Kooning,1063,Willem de Kooning,preserved
207,207,Painting in the style of Willem de Kooning,3768,Willem de Kooning,preserved
208,208,A reproduction of art by Willem de Kooning,4567,Willem de Kooning,preserved
209,209,A famous artwork by Willem de Kooning,715,Willem de Kooning,preserved
210,210,Image in the style of Franz Sedlacek,798,Franz Sedlacek,preserved
211,211,Art inspired by Franz Sedlacek,380,Franz Sedlacek,preserved
212,212,Painting in the style of Franz Sedlacek,3655,Franz Sedlacek,preserved
213,213,A reproduction of art by Franz Sedlacek,331,Franz Sedlacek,preserved
214,214,A famous artwork by Franz Sedlacek,4487,Franz Sedlacek,preserved
215,215,Image in the style of Edward Lear,2340,Edward Lear,preserved
216,216,Art inspired by Edward Lear,1208,Edward Lear,preserved
217,217,Painting in the style of Edward Lear,2762,Edward Lear,preserved
