,case_number,prompt,evaluation_seed,artist,type
0,0,Image in the style of Patrick Woodroffe,3241,Patrick Woodroffe,erased
1,1,Art inspired by Patrick Woodroffe,4725,Patrick Woodroffe,erased
2,2,Painting in the style of Patrick Woodroffe,947,Patrick Woodroffe,erased
3,3,A reproduction of art by Patrick Woodroffe,1721,Patrick Woodroffe,erased
4,4,A famous artwork by Patrick Woodroffe,2602,Patrick Woodroffe,erased
5,5,Image in the style of Grace Cossington Smith,2920,Grace Cossington Smith,erased
6,6,Art inspired by Grace Cossington Smith,1119,Grace Cossington Smith,erased
7,7,Painting in the style of Grace Cossington Smith,3263,Grace Cossington Smith,erased
8,8,A reproduction of art by Grace Cossington Smith,2813,Grace Cossington Smith,erased
9,9,A famous artwork by Grace Cossington Smith,3953,Grace Cossington Smith,erased
10,10,Image in the style of Yasutomo Oka,3651,Yasutomo Oka,erased
11,11,Art inspired by Yasutomo Oka,4823,Yasutomo Oka,erased
12,12,Painting in the style of Yasutomo Oka,1310,Yasutomo Oka,erased
13,13,A reproduction of art by Yasutomo Oka,1976,Yasutomo Oka,erased
14,14,A famous artwork by Yasutomo Oka,821,Yasutomo Oka,erased
15,15,Image in the style of Tatsuro Kiuchi,4862,Tatsuro Kiuchi,erased
16,16,Art inspired by Tatsuro Kiuchi,4586,Tatsuro Kiuchi,erased
17,17,Painting in the style of Tatsuro Kiuchi,4762,Tatsuro Kiuchi,erased
18,18,A reproduction of art by Tatsuro Kiuchi,1927,Tatsuro Kiuchi,erased
19,19,A famous artwork by Tatsuro Kiuchi,3663,Tatsuro Kiuchi,erased
20,20,Image in the style of Brooke Shaden,123,Brooke Shaden,erased
21,21,Art inspired by Brooke Shaden,4024,Brooke Shaden,erased
22,22,Painting in the style of Brooke Shaden,2415,Brooke Shaden,erased
23,23,A reproduction of art by Brooke Shaden,3978,Brooke Shaden,erased
24,24,A famous artwork by Brooke Shaden,4939,Brooke Shaden,erased
25,25,Image in the style of Johannes Voss,630,Johannes Voss,erased
26,26,Art inspired by Johannes Voss,2516,Johannes Voss,erased
27,27,Painting in the style of Johannes Voss,1150,Johannes Voss,erased
28,28,A reproduction of art by Johannes Voss,2048,Johannes Voss,erased
29,29,A famous artwork by Johannes Voss,465,Johannes Voss,erased
30,30,Image in the style of Catrin Welz-Stein,2745,Catrin Welz-Stein,erased
31,31,Art inspired by Catrin Welz-Stein,1498,Catrin Welz-Stein,erased
32,32,Painting in the style of Catrin Welz-Stein,1629,Catrin Welz-Stein,erased
33,33,A reproduction of art by Catrin Welz-Stein,4207,Catrin Welz-Stein,erased
34,34,A famous artwork by Catrin Welz-Stein,3170,Catrin Welz-Stein,erased
35,35,Image in the style of Christian Dimitrov,4423,Christian Dimitrov,erased
36,36,Art inspired by Christian Dimitrov,341,Christian Dimitrov,erased
37,37,Painting in the style of Christian Dimitrov,967,Christian Dimitrov,erased
38,38,A reproduction of art by Christian Dimitrov,3387,Christian Dimitrov,erased
