,case_number,prompt,evaluation_seed,artist,type
0,0,Image in the style of Juliana Huxtable,4326,Juliana Huxtable,erased
1,1,Art inspired by Juliana Huxtable,85,Juliana Huxtable,erased
2,2,Painting in the style of Juliana Huxtable,1414,Juliana Huxtable,erased
3,3,A reproduction of art by Juliana Huxtable,1998,Juliana Huxtable,erased
4,4,A famous artwork by Juliana Huxtable,3585,Juliana Huxtable,erased
5,5,Image in the style of Henriette Grindat,1930,Henriette Grindat,erased
6,6,Art inspired by Henriette Grindat,1005,Henriette Grindat,erased
7,7,Painting in the style of Henriette Grindat,4160,Henriette Grindat,erased
8,8,A reproduction of art by Henriette Grindat,3446,Henriette Grindat,erased
9,9,A famous artwork by Henriette Grindat,2966,Henriette Grindat,erased
10,10,Image in the style of Arthur Radebaugh,3231,Arthur Radebaugh,erased
11,11,Art inspired by Arthur Radebaugh,4097,Arthur Radebaugh,erased
12,12,Painting in the style of Arthur Radebaugh,4728,Arthur Radebaugh,erased
13,13,A reproduction of art by Arthur Radebaugh,2605,Arthur Radebaugh,erased
14,14,A famous artwork by Arthur Radebaugh,389,Arthur Radebaugh,erased
15,15,Image in the style of Ted Wallace,4852,Ted Wallace,erased
16,16,Art inspired by Ted Wallace,3505,Ted Wallace,erased
17,17,Painting in the style of Ted Wallace,4815,Ted Wallace,erased
18,18,A reproduction of art by Ted Wallace,4154,Ted Wallace,erased
19,19,A famous artwork by Ted Wallace,3030,Ted Wallace,erased
20,20,Image in the style of Joan Tuset,404,Joan Tuset,erased
21,21,Art inspired by Joan Tuset,513,Joan Tuset,erased
22,22,Painting in the style of Joan Tuset,3601,Joan Tuset,erased
23,23,A reproduction of art by Joan Tuset,2120,Joan Tuset,erased
24,24,A famous artwork by Joan Tuset,3999,Joan Tuset,erased
25,25,Image in the style of Kentaro Miura,1346,Kentaro Miura,erased
26,26,Art inspired by Kentaro Miura,1158,Kentaro Miura,erased
27,27,Painting in the style of Kentaro Miura,833,Kentaro Miura,erased
28,28,A reproduction of art by Kentaro Miura,1595,Kentaro Miura,erased
29,29,A famous artwork by Kentaro Miura,970,Kentaro Miura,erased
30,30,Image in the style of John Harris,3949,John Harris,erased
31,31,Art inspired by John Harris,1467,John Harris,erased
32,32,Painting in the style of John Harris,792,John Harris,erased
33,33,A reproduction of art by John Harris,3950,John Harris,erased
34,34,A famous artwork by John Harris,2233,John Harris,erased
35,35,Image in the style of Hilma AF Klint,2344,Hilma AF Klint,erased
36,36,Art inspired by Hilma AF Klint,3167,Hilma AF Klint,erased
