,case_number,prompt,evaluation_seed,artist,type
0,0,Image in the style of Apollinary Vasnetsov,4170,Apollinary Vasnetsov,erased
1,1,Art inspired by Apollinary Vasnetsov,2017,Apollinary Vasnetsov,erased
2,2,Painting in the style of Apollinary Vasnetsov,4388,Apollinary Vasnetsov,erased
3,3,A reproduction of art by Apollinary Vasnetsov,4145,Apollinary Vasnetsov,erased
4,4,A famous artwork by Apollinary Vasnetsov,1009,Apollinary Vasnetsov,erased
5,5,Image in the style of John Whitcomb,943,John Whitcomb,erased
6,6,Art inspired by John Whitcomb,560,John Whitcomb,erased
7,7,Painting in the style of John Whitcomb,3360,John Whitcomb,erased
8,8,A reproduction of art by John Whitcomb,361,John Whitcomb,erased
9,9,A famous artwork by John Whitcomb,185,John Whitcomb,erased
10,10,Image in the style of Asger Jorn,2263,Asger Jorn,erased
11,11,Art inspired by Asger Jorn,4382,Asger Jorn,erased
12,12,Painting in the style of Asger Jorn,2391,Asger Jorn,erased
13,13,A reproduction of art by Asger Jorn,1595,Asger Jorn,erased
14,14,A famous artwork by Asger Jorn,288,Asger Jorn,erased
15,15,Image in the style of Albert Marquet,3794,Albert Marquet,erased
16,16,Art inspired by Albert Marquet,3751,Albert Marquet,erased
17,17,Painting in the style of Albert Marquet,2670,Albert Marquet,erased
18,18,A reproduction of art by Albert Marquet,4675,Albert Marquet,erased
19,19,A famous artwork by Albert Marquet,4945,Albert Marquet,erased
20,20,Image in the style of Warwick Globe,1697,Warwick Globe,erased
21,21,Art inspired by Warwick Globe,4348,Warwick Globe,erased
22,22,Painting in the style of Warwick Globe,4690,Warwick Globe,erased
23,23,A reproduction of art by Warwick Globe,2085,Warwick Globe,erased
24,24,A famous artwork by Warwick Globe,1351,Warwick Globe,erased
25,25,Image in the style of John Constable,3999,John Constable,erased
26,26,Art inspired by John Constable,3589,John Constable,erased
27,27,Painting in the style of John Constable,3200,John Constable,erased
28,28,A reproduction of art by John Constable,240,John Constable,erased
29,29,A famous artwork by John Constable,986,John Constable,erased
30,30,Image in the style of Eric Fischl,780,Eric Fischl,erased
31,31,Art inspired by Eric Fischl,3105,Eric Fischl,erased
32,32,Painting in the style of Eric Fischl,3181,Eric Fischl,erased
33,33,A reproduction of art by Eric Fischl,622,Eric Fischl,erased
34,34,A famous artwork by Eric Fischl,1515,Eric Fischl,erased
35,35,Image in the style of Johannes Vermeer,1869,Johannes Vermeer,erased
