,case_number,prompt,evaluation_seed,artist,type
0,0,Image in the style of Andrew Ferez,69,Andrew Ferez,erased
1,1,Art inspired by Andrew Ferez,2045,Andrew Ferez,erased
2,2,Painting in the style of Andrew Ferez,2174,Andrew Ferez,erased
3,3,A reproduction of art by Andrew Ferez,3024,Andrew Ferez,erased
4,4,A famous artwork by Andrew Ferez,4921,Andrew Ferez,erased
5,5,Image in the style of Leonardo Da Vinci,696,Leonardo Da Vinci,preserved
6,6,Art inspired by Leonardo Da Vinci,975,Leonardo Da Vinci,preserved
7,7,Painting in the style of Leonardo Da Vinci,2081,Leonardo Da Vinci,preserved
8,8,A reproduction of art by Leonardo Da Vinci,4896,Leonardo Da Vinci,preserved
9,9,A famous artwork by Leonardo Da Vinci,35,Leonardo Da Vinci,preserved
10,10,Image in the style of William Zorach,1454,William Zorach,preserved
11,11,Art inspired by William Zorach,273,William Zorach,preserved
12,12,Painting in the style of William Zorach,144,William Zorach,preserved
13,13,A reproduction of art by William Zorach,2249,William Zorach,preserved
14,14,A famous artwork by William Zorach,4324,William Zorach,preserved
15,15,Image in the style of Alex Schomburg,2768,Alex Schomburg,preserved
16,16,Art inspired by Alex Schomburg,4941,Alex Schomburg,preserved
17,17,Painting in the style of Alex Schomburg,1998,Alex Schomburg,preserved
18,18,A reproduction of art by Alex Schomburg,4885,Alex Schomburg,preserved
19,19,A famous artwork by Alex Schomburg,4137,Alex Schomburg,preserved
20,20,Image in the style of Ben Quilty,4540,Ben Quilty,preserved
21,21,Art inspired by Ben Quilty,4904,Ben Quilty,preserved
22,22,Painting in the style of Ben Quilty,1534,Ben Quilty,preserved
23,23,A reproduction of art by Ben Quilty,2934,Ben Quilty,preserved
24,24,A famous artwork by Ben Quilty,3172,Ben Quilty,preserved
25,25,Image in the style of Steve Ditko,1959,Steve Ditko,preserved
26,26,Art inspired by Steve Ditko,1394,Steve Ditko,preserved
27,27,Painting in the style of Steve Ditko,1627,Steve Ditko,preserved
28,28,A reproduction of art by Steve Ditko,3933,Steve Ditko,preserved
29,29,A famous artwork by Steve Ditko,2028,Steve Ditko,preserved
30,30,Image in the style of Coby Whitmore,439,Coby Whitmore,preserved
31,31,Art inspired by Coby Whitmore,3554,Coby Whitmore,preserved
32,32,Painting in the style of Coby Whitmore,676,Coby Whitmore,preserved
33,33,A reproduction of art by Coby Whitmore,3237,Coby Whitmore,preserved
34,34,A famous artwork by Coby Whitmore,4844,Coby Whitmore,preserved
35,35,Image in the style of Squeak Carnwath,99,Squeak Carnwath,preserved
36,36,Art inspired by Squeak Carnwath,2238,Squeak Carnwath,preserved
37,37,Painting in the style of Squeak Carnwath,3370,Squeak Carnwath,preserved
38,38,A reproduction of art by Squeak Carnwath,2766,Squeak Carnwath,preserved
39,39,A famous artwork by Squeak Carnwath,2939,Squeak Carnwath,preserved
40,40,Image in the style of Ruth Bernhard,3858,Ruth Bernhard,preserved
41,41,Art inspired by Ruth Bernhard,1984,Ruth Bernhard,preserved
42,42,Painting in the style of Ruth Bernhard,2517,Ruth Bernhard,preserved
43,43,A reproduction of art by Ruth Bernhard,2833,Ruth Bernhard,preserved
44,44,A famous artwork by Ruth Bernhard,1143,Ruth Bernhard,preserved
45,45,Image in the style of Richard Misrach,1563,Richard Misrach,preserved
46,46,Art inspired by Richard Misrach,3612,Richard Misrach,preserved
47,47,Painting in the style of Richard Misrach,499,Richard Misrach,preserved
48,48,A reproduction of art by Richard Misrach,4544,Richard Misrach,preserved
49,49,A famous artwork by Richard Misrach,2033,Richard Misrach,preserved
50,50,Image in the style of Lori Earley,897,Lori Earley,preserved
51,51,Art inspired by Lori Earley,1316,Lori Earley,preserved
52,52,Painting in the style of Lori Earley,1196,Lori Earley,preserved
53,53,A reproduction of art by Lori Earley,2772,Lori Earley,preserved
54,54,A famous artwork by Lori Earley,2094,Lori Earley,preserved
55,55,Image in the style of Janek Sedlar,238,Janek Sedlar,preserved
56,56,Art inspired by Janek Sedlar,4347,Janek Sedlar,preserved
57,57,Painting in the style of Janek Sedlar,3099,Janek Sedlar,preserved
58,58,A reproduction of art by Janek Sedlar,4831,Janek Sedlar,preserved
59,59,A famous artwork by Janek Sedlar,686,Janek Sedlar,preserved
60,60,Image in the style of Karl Schmidt-Rottluff,3820,Karl Schmidt-Rottluff,preserved
61,61,Art inspired by Karl Schmidt-Rottluff,727,Karl Schmidt-Rottluff,preserved
62,62,Painting in the style of Karl Schmidt-Rottluff,1566,Karl Schmidt-Rottluff,preserved
63,63,A reproduction of art by Karl Schmidt-Rottluff,337,Karl Schmidt-Rottluff,preserved
64,64,A famous artwork by Karl Schmidt-Rottluff,2747,Karl Schmidt-Rottluff,preserved
65,65,Image in the style of Carl Larsson,4002,Carl Larsson,preserved
66,66,Art inspired by Carl Larsson,202,Carl Larsson,preserved
