,case_number,prompt,evaluation_seed,artist,type
0,0,Image in the style of Carl Spitzweg,1944,Carl Spitzweg,erased
1,1,Art inspired by Carl Spitzweg,4267,Carl Spitzweg,erased
2,2,Painting in the style of Carl Spitzweg,3813,Carl Spitzweg,erased
3,3,A reproduction of art by Carl Spitzweg,1040,Carl Spitzweg,erased
4,4,A famous artwork by Carl Spitzweg,758,Carl Spitzweg,erased
5,5,Image in the style of Paul Gustav Fischer,4649,Paul Gustav Fischer,erased
6,6,Art inspired by Paul Gustav Fischer,1464,Paul Gustav Fischer,erased
7,7,Painting in the style of Paul Gustav Fischer,3462,Paul Gustav Fischer,erased
8,8,A reproduction of art by Paul Gustav Fischer,2695,Paul Gustav Fischer,erased
9,9,A famous artwork by Paul Gustav Fischer,4261,Paul Gustav Fischer,erased
10,10,Image in the style of Raymond Briggs,1756,Raymond Briggs,erased
11,11,Art inspired by Raymond Briggs,3099,Raymond Briggs,erased
12,12,Painting in the style of Raymond Briggs,2100,Raymond Briggs,erased
13,13,A reproduction of art by Raymond Briggs,913,Raymond Briggs,erased
14,14,A famous artwork by Raymond Briggs,3913,Raymond Briggs,erased
15,15,Image in the style of Daniel Ridgway Knight,2598,Daniel Ridgway Knight,erased
16,16,Art inspired by Daniel Ridgway Knight,2659,Daniel Ridgway Knight,erased
17,17,Painting in the style of Daniel Ridgway Knight,4584,Daniel Ridgway Knight,erased
18,18,A reproduction of art by Daniel Ridgway Knight,4856,Daniel Ridgway Knight,erased
19,19,A famous artwork by Daniel Ridgway Knight,896,Daniel Ridgway Knight,erased
20,20,Image in the style of Malcolm Liepke,2943,Malcolm Liepke,erased
21,21,Art inspired by Malcolm Liepke,4788,Malcolm Liepke,erased
22,22,Painting in the style of Malcolm Liepke,1148,Malcolm Liepke,erased
23,23,A reproduction of art by Malcolm Liepke,3723,Malcolm Liepke,erased
24,24,A famous artwork by Malcolm Liepke,700,Malcolm Liepke,erased
25,25,Image in the style of Hubert Robert,4979,Hubert Robert,erased
26,26,Art inspired by Hubert Robert,617,Hubert Robert,erased
27,27,Painting in the style of Hubert Robert,518,Hubert Robert,erased
28,28,A reproduction of art by Hubert Robert,1290,Hubert Robert,erased
29,29,A famous artwork by Hubert Robert,2725,Hubert Robert,erased
30,30,Image in the style of Storm Thorgerson,583,Storm Thorgerson,erased
31,31,Art inspired by Storm Thorgerson,4801,Storm Thorgerson,erased
32,32,Painting in the style of Storm Thorgerson,2459,Storm Thorgerson,erased
33,33,A reproduction of art by Storm Thorgerson,485,Storm Thorgerson,erased
34,34,A famous artwork by Storm Thorgerson,998,Storm Thorgerson,erased
35,35,Image in the style of Dean Cornwell,3275,Dean Cornwell,erased
36,36,Art inspired by Dean Cornwell,2904,Dean Cornwell,erased
37,37,Painting in the style of Dean Cornwell,579,Dean Cornwell,erased
38,38,A reproduction of art by Dean Cornwell,3507,Dean Cornwell,erased
39,39,A famous artwork by Dean Cornwell,2262,Dean Cornwell,erased
40,40,Image in the style of Amir Zand,3709,Amir Zand,erased
41,41,Art inspired by Amir Zand,1195,Amir Zand,erased
42,42,Painting in the style of Amir Zand,2376,Amir Zand,erased
43,43,A reproduction of art by Amir Zand,1311,Amir Zand,erased
44,44,A famous artwork by Amir Zand,2636,Amir Zand,erased
45,45,Image in the style of Hein Gorny,4176,Hein Gorny,erased
46,46,Art inspired by Hein Gorny,4036,Hein Gorny,erased
47,47,Painting in the style of Hein Gorny,2664,Hein Gorny,erased
48,48,A reproduction of art by Hein Gorny,1499,Hein Gorny,erased
49,49,A famous artwork by Hein Gorny,1214,Hein Gorny,erased
