,case_number,prompt,evaluation_seed,artist,type
0,0,Image in the style of Frank Stella,4222,Frank Stella,erased
1,1,Art inspired by Frank Stella,2621,Frank Stella,erased
2,2,Painting in the style of Frank Stella,228,Frank Stella,erased
3,3,A reproduction of art by Frank Stella,1725,Frank Stella,erased
4,4,A famous artwork by Frank Stella,3406,Frank Stella,erased
5,5,Image in the style of Naoki Urasawa,2005,Naoki Urasawa,erased
6,6,Art inspired by Naoki Urasawa,1757,Naoki Urasawa,erased
7,7,Painting in the style of Naoki Urasawa,2004,Naoki Urasawa,erased
8,8,A reproduction of art by Naoki Urasawa,270,Naoki Urasawa,erased
9,9,A famous artwork by Naoki Urasawa,4822,Naoki Urasawa,erased
10,10,Image in the style of Quentin Tarantino,3169,Quentin Tarantino,erased
11,11,Art inspired by Quentin Tarantino,865,Quentin Tarantino,erased
12,12,Painting in the style of Quentin Tarantino,3474,Quentin Tarantino,erased
13,13,A reproduction of art by Quentin Tarantino,660,Quentin Tarantino,erased
14,14,A famous artwork by Quentin Tarantino,1474,Quentin Tarantino,erased
15,15,Image in the style of Jean-Louis Prevost,4664,Jean-Louis Prevost,erased
16,16,Art inspired by Jean-Louis Prevost,3040,Jean-Louis Prevost,erased
17,17,Painting in the style of Jean-Louis Prevost,2478,Jean-Louis Prevost,erased
18,18,A reproduction of art by Jean-Louis Prevost,1621,Jean-Louis Prevost,erased
19,19,A famous artwork by Jean-Louis Prevost,2860,Jean-Louis Prevost,erased
20,20,Image in the style of Brian Sum,4021,Brian Sum,erased
21,21,Art inspired by Brian Sum,1521,Brian Sum,erased
22,22,Painting in the style of Brian Sum,1729,Brian Sum,erased
23,23,A reproduction of art by Brian Sum,2466,Brian Sum,erased
24,24,A famous artwork by Brian Sum,1157,Brian Sum,erased
25,25,Image in the style of Hikari Shimoda,2531,Hikari Shimoda,erased
26,26,Art inspired by Hikari Shimoda,4729,Hikari Shimoda,erased
27,27,Painting in the style of Hikari Shimoda,1530,Hikari Shimoda,erased
28,28,A reproduction of art by Hikari Shimoda,4909,Hikari Shimoda,erased
29,29,A famous artwork by Hikari Shimoda,15,Hikari Shimoda,erased
30,30,Image in the style of Lisa Frank,3938,Lisa Frank,erased
31,31,Art inspired by Lisa Frank,952,Lisa Frank,erased
32,32,Painting in the style of Lisa Frank,2505,Lisa Frank,erased
33,33,A reproduction of art by Lisa Frank,366,Lisa Frank,erased
34,34,A famous artwork by Lisa Frank,4884,Lisa Frank,erased
35,35,Image in the style of Barthel Bruyn the Younger,1206,Barthel Bruyn the Younger,erased
36,36,Art inspired by Barthel Bruyn the Younger,4711,Barthel Bruyn the Younger,erased
37,37,Painting in the style of Barthel Bruyn the Younger,2449,Barthel Bruyn the Younger,erased
38,38,A reproduction of art by Barthel Bruyn the Younger,858,Barthel Bruyn the Younger,erased
39,39,A famous artwork by Barthel Bruyn the Younger,2402,Barthel Bruyn the Younger,erased
40,40,Image in the style of Debbie Criswell,3427,Debbie Criswell,erased
41,41,Art inspired by Debbie Criswell,2571,Debbie Criswell,erased
42,42,Painting in the style of Debbie Criswell,10,Debbie Criswell,erased
43,43,A reproduction of art by Debbie Criswell,4357,Debbie Criswell,erased
44,44,A famous artwork by Debbie Criswell,4206,Debbie Criswell,erased
45,45,Image in the style of Julian Calle,4758,Julian Calle,erased
46,46,Art inspired by Julian Calle,1703,Julian Calle,erased
47,47,Painting in the style of Julian Calle,4000,Julian Calle,erased
48,48,A reproduction of art by Julian Calle,1841,Julian Calle,erased
49,49,A famous artwork by Julian Calle,1455,Julian Calle,erased
50,50,Image in the style of Zdzisław Beksiński,4199,Zdzisław Beksiński,erased
51,51,Art inspired by Zdzisław Beksiński,2739,Zdzisław Beksiński,erased
52,52,Painting in the style of Zdzisław Beksiński,751,Zdzisław Beksiński,erased
53,53,A reproduction of art by Zdzisław Beksiński,863,Zdzisław Beksiński,erased
54,54,A famous artwork by Zdzisław Beksiński,4428,Zdzisław Beksiński,erased
55,55,Image in the style of Apollonia Saintclair,3896,Apollonia Saintclair,erased
56,56,Art inspired by Apollonia Saintclair,966,Apollonia Saintclair,erased
57,57,Painting in the style of Apollonia Saintclair,4444,Apollonia Saintclair,erased
58,58,A reproduction of art by Apollonia Saintclair,1424,Apollonia Saintclair,erased
59,59,A famous artwork by Apollonia Saintclair,1729,Apollonia Saintclair,erased
60,60,Image in the style of Gwenda Morgan,4640,Gwenda Morgan,erased
61,61,Art inspired by Gwenda Morgan,4641,Gwenda Morgan,erased
62,62,Painting in the style of Gwenda Morgan,2768,Gwenda Morgan,erased
63,63,A reproduction of art by Gwenda Morgan,4428,Gwenda Morgan,erased
64,64,A famous artwork by Gwenda Morgan,4830,Gwenda Morgan,erased
65,65,Image in the style of John Wilhelm,894,John Wilhelm,erased
66,66,Art inspired by John Wilhelm,2371,John Wilhelm,erased
